"cell_id","group"
"aahijogd-1","PTS2"
"aahjkicg-1","PTS2"
"aahkcadc-1","PTS2"
"aahkfffc-1","PTS2"
"aahkfjpm-1","PTS2"
"aahkgdgf-1","PTS1"
"aahkiecp-1","PTS2"
"aahkihgk-1","PTS1"
"aahlcndf-1","PTS1"
"aahmhgfo-1","PTS1"
"aahmkdkm-1","PTS1"
"aahmpbia-1","ICA"
"aahnhike-1","PTS2"
"aahocfak-1","PTS2"
"aahojeig-1","PTS2"
"aahoknoe-1","ICA"
"aahpedfd-1","ICA"
"aahpodgo-1","ICA"
"aahpohha-1","ICA"
"aahppnjc-1","PTS1"
"aaiabpii-1","ICA"
"aaiadeki-1","PTS2"
"aaiafjan-1","CNT"
"aaialcfb-1","CNT"
"aaibpjmj-1","PTS2"
"aaicioim-1","cPC"
"aaicmhnn-1","PTS2"
"aaidffpp-1","CNT"
"aaidfkmp-1","PTS2"
"aaidkndc-1","PTS2"
"aaidokii-1","PTS1"
"aaidplhk-1","PTS2"
"aaifdlag-1","PTS2"
"aaiffffm-1","PTS2"
"aaiffioe-1","PTS2"
"aaiffnna-1","PTS2"
"aaifkkpe-1","PTS2"
"aaifnggd-1","PTS2"
"aaigdbog-1","PTS2"
"aaigkdei-1","PTS2"
"aaigmipe-1","CNT"
"aaihcoeo-1","PTS2"
"aaihcpec-1","CNT"
"aaihgmia-1","PTS2"
"aaihicgd-1","CNT"
"aaihnpbn-1","CNT"
"aaiidoho-1","CNT"
"aaiifncn-1","ICA"
"aaiihood-1","CNT"
"aaiikeoc-1","PTS1"
"aaiikgel-1","CNT"
"aaijdnoc-1","PTS2"
"aaijjbba-1","PTS2"
"aaijmogo-1","PTS2"
"aaijonfl-1","PTS2"
"aaikcnkp-1","PTS2"
"aaikneck-1","PTS2"
"aaikpnnm-1","CNT"
"aailloda-1","CNT"
"aailojei-1","CNT"
"aailolal-1","CNT"
"aaimipph-1","PTS2"
"aaimlklj-1","PTS2"
"aaimmiki-1","PTS2"
"aaincimi-1","PTS2"
"aaiodcbl-1","PTS2"
"aaipdffk-1","PTS2"
"aaipdpfa-1","PTS2"
"aaipfpfo-1","PTS2"
"aaipoihg-1","PTS2"
"aajalgfp-1","PTS2"
"aajbnjcl-1","PTS2"
"aajdioff-1","EC1"
"aajdjpcd-1","PTS2"
"aajeiaac-1","PTS2"
"aajeidbg-1","PTS2"
"aajeijgk-1","PTS2"
"aajfenkf-1","DCT2"
"aajflodd-1","DCT2"
"aajfmkca-1","PTS2"
"aajfoepf-1","PTS2"
"aajgnnkc-1","PTS1"
"aajhapal-1","PTS2"
"aajhcjkb-1","PTS2"
"aajhiial-1","PTS2"
"aajhmdek-1","IntX"
"aajibjoe-1","CNT"
"aajieehb-1","CNT"
"aajjbnbb-1","PTS2"
"aajkfdom-1","PTS2"
"aajldjih-1","PTS1"
"aajleblp-1","PTS1"
"aajllhan-1","PTS2"
"aajmifgn-1","PTS1"
"aajneifj-1","PTS3"
"aajofgbb-1","PTS1"
"aajppfbh-1","PTS2"
"aajppjio-1","PTS3"
"aakbccib-1","PTS3"
"aakbgldl-1","PTS2"
"aakbhfbo-1","PTS2"
"aakbhjio-1","PTS1"
"aakbidol-1","PTS1"
"aakbkhim-1","PTS1"
"aakbobfo-1","PTS2"
"aakcgikh-1","PTS2"
"aakcnekp-1","PTS3"
"aakdfdcc-1","PTS2"
"aakdiaco-1","PTS2"
"aakdmamm-1","PTS2"
"aakdmobn-1","PTS2"
"aakdonbk-1","PTS2"
"aakdphfk-1","PTS2"
"aakeadfn-1","PTS2"
"aakefbnl-1","PTS2"
"aakeidep-1","PTS2"
"aakeiedl-1","PTS2"
"aakeoehg-1","PTS2"
"aakffkbd-1","PTS2"
"aakfkhaj-1","PTS2"
"aakfkmci-1","PTS2"
"aakfkonk-1","PTS2"
"aakgdgja-1","PTS2"
"aakhkidh-1","PTS3"
"aakijadm-1","PTS3"
"aakinlch-1","PTS2"
"aakjnond-1","PTS2"
"aakkdpjk-1","PTS3"
"aakkgkoa-1","PTS2"
"aakkhieh-1","PTS2"
"aaklcehd-1","PTS3"
"aaklghlk-1","PTS3"
"aakllhml-1","PTS3"
"aakmeajg-1","PTS3"
"aakmfoln-1","PTS2"
"aakmncee-1","PTS3"
"aakmpbjo-1","PTS3"
"aakndfnj-1","PTS2"
"aaknjcpc-1","PTS2"
"aaknpacm-1","PTS2"
"aakobkdn-1","PTS2"
"aakolckl-1","PTS3"
"aakpbpnc-1","PTS3"
"aakpgicb-1","PTS2"
"aalaejll-1","PTS2"
"aalamgin-1","PTS3"
"aalbmekj-1","PTS2"
"aalciohh-1","PTS2"
"aaldcabl-1","PTS2"
"aaldgfaj-1","PTS2"
"aaldmglh-1","PTS3"
