"cell_id","group"
"abgopcjh-1","6"
"abgopdkc-1","6"
"abgpdadp-1","5"
"abgpejcp-1","1"
"abgphajm-1","1"
"abgppppj-1","29"
"abhagjhg-1","1"
"abhbnnba-1","6"
"abhbpecf-1","6"
"abhcfhjk-1","1"
"abhcjifn-1","6"
"abhclfed-1","5"
"abhclolf-1","3"
"abhdbiio-1","1"
"abhdlaff-1","5"
"abhdnepm-1","1"
"abheihdd-1","6"
"abheiodp-1","1"
"abhekdfa-1","6"
"abheoafe-1","7"
"abhfbdnh-1","16"
"abhfcipa-1","16"
"abhfegok-1","16"
"abhgfblf-1","6"
"abhglnpm-1","16"
"abhglofa-1","16"
"abhhbmhj-1","6"
"abhhdkbh-1","16"
"abhhpeop-1","6"
"abhiclee-1","6"
"abhiegej-1","29"
"abhjkeck-1","6"
"abhkefkb-1","6"
"abhkihna-1","1"
"abhkldpl-1","7"
"abhkoljn-1","7"
"abhkpdcf-1","7"
"abhlafkn-1","29"
"abhlcjcn-1","34"
"abhlpjmj-1","7"
"abhmchap-1","5"
"abhmiebh-1","29"
"abhmjbab-1","5"
"abhmppnj-1","1"
"abhngmho-1","16"
"abhnioko-1","1"
"abhofjeh-1","1"
"abhofnkl-1","1"
"abhpfbio-1","1"
"abhpmocb-1","7"
"abiblboa-1","7"
"abibonjb-1","1"
"abiccjae-1","7"
"abiciahi-1","7"
"abidcnak-1","5"
"abiegfjn-1","16"
"abifgpno-1","6"
"abifnepn-1","6"
"abifnpjl-1","5"
"abigbfgm-1","1"
"abihaaei-1","5"
"abihegfd-1","5"
"abiifhlg-1","1"
"abiinfai-1","6"
"abikfmmn-1","1"
"abilklbb-1","5"
"abimcbjo-1","5"
"abimgeem-1","6"
"abindcfd-1","1"
"abinfoek-1","5"
"abinjila-1","7"
"abiobpii-1","1"
"abioimmj-1","1"
"abiojnea-1","1"
"abiojpga-1","7"
"abipdlio-1","7"
"abipdmml-1","1"
"abipnpin-1","5"
"abjahenf-1","5"
"abjapkdc-1","1"
"abjappdc-1","6"
"abjbalca-1","1"
"abjbgjgm-1","5"
"abjbhmfj-1","7"
"abjbhmkd-1","8"
"abjbmddp-1","1"
"abjccfeo-1","7"
"abjckfen-1","16"
"abjcmooi-1","16"
"abjcnnke-1","36"
"abjdgejo-1","20"
"abjdmjcg-1","36"
"abjebpjh-1","1"
"abjegoii-1","1"
"abjeiakd-1","5"
"abjfbhgm-1","5"
"abjfekie-1","1"
"abjfffpl-1","7"
"abjgcdma-1","5"
"abjgjclp-1","7"
"abjgnkbe-1","5"
"abjgppfi-1","1"
"abjhbflo-1","9"
"abjhfbcd-1","5"
"abjiaila-1","1"
"abjidelk-1","1"
"abjihlpd-1","1"
"abjiodmo-1","5"
"abjjgkjj-1","1"
"abjjjlmf-1","5"
"abjjnfea-1","5"
"abjkdgon-1","1"
"abjlifnp-1","7"
"abjlkcdo-1","1"
"abjneafi-1","6"
"abjnmbma-1","24"
"abjoaifh-1","16"
