#Selection name: Selection 1
#Area (µm^2): 30942047.62
Cell ID,Cluster,Transcripts,Area (µm^2)
mbgcdkjj-1,Cluster 4,0,72.97
mbghbbki-1,Cluster 3,0,87.60
mbfopfai-1,Cluster 10,0,123.28
bbnjpakl-1,Cluster 3,0,102.46
bbnnaiih-1,Cluster 12,0,67.19
bbnoefeg-1,Cluster 3,0,108.10
bbnmaeio-1,Cluster 17,0,48.23
mbgcfigg-1,Cluster 5,0,50.39
lifchhof-1,Cluster 3,0,277.89
mbgdoaih-1,Cluster 3,0,140.66
mbgcphcg-1,Cluster 10,0,43.71
bbnjflpp-1,Cluster 3,0,123.68
mbgdibce-1,Cluster 3,0,79.84
bbnhjbch-1,Cluster 12,0,57.98
bbngemcn-1,Cluster 12,0,84.67
mbgcmeoc-1,Cluster 43,0,42.49
bbngiamc-1,Cluster 19,0,41.54
mbgagmln-1,Cluster 12,0,265.56
bbnfpggp-1,Cluster 12,0,87.15
mbgcabaf-1,Cluster 3,0,231.43
bbngpgno-1,Cluster 1,0,56.72
mbgdnlbf-1,Cluster 10,0,26.60
mbfnoolj-1,Cluster 3,0,238.61
bbngakoh-1,Cluster 1,0,80.15
mbgfcmbe-1,Cluster 4,0,41.50
mbfneppl-1,Cluster 13,0,42.18
bbngchka-1,Cluster 1,0,81.55
mbfodngh-1,Cluster 19,0,147.93
oifmamop-1,Cluster 25,0,133.89
mbkbicaf-1,Cluster 19,0,59.97
lifklmhe-1,Cluster 1,0,94.38
mbfmliig-1,Cluster 31,0,79.88
mbgioeae-1,Cluster 11,0,94.87
bbnoenoc-1,Cluster 1,0,70.35
mbkcklpo-1,Cluster 3,0,176.43
bbnflmem-1,Cluster 1,0,111.54
bbnffode-1,Cluster 1,0,91.31
mbgjccie-1,Cluster 11,0,75.41
mbkaebom-1,Cluster 10,0,25.83
lifeglhk-1,Cluster 11,0,92.21
mbkbkclj-1,Cluster 3,0,117.05
mbkapmcb-1,Cluster 12,0,137.05
lifedgbg-1,Cluster 1,0,186.68
mbkakfkf-1,Cluster 3,0,93.70
lifcoijp-1,Cluster 1,0,130.95
mbkggofn-1,Cluster 3,0,134.20
bbnfhmhp-1,Cluster 3,0,82.09
mbghfmki-1,Cluster 4,0,51.48
liffflam-1,Cluster 1,0,127.79
bbneookg-1,Cluster 1,0,148.84
mbkafibn-1,Cluster 31,0,72.07
mbgimjmc-1,Cluster 3,0,138.18
mbgjmljf-1,Cluster 1,0,115.51
bbnklapp-1,Cluster 1,0,81.82
mbgjpbhi-1,Cluster 33,0,56.49
mbgafmcp-1,Cluster 1,0,84.17
bcnfhcpj-1,Cluster 3,0,107.65
mbgkdkcp-1,Cluster 19,0,71.98
bbnlnede-1,Cluster 1,0,93.70
mbgkdink-1,Cluster 3,0,102.87
mbghhldm-1,Cluster 3,0,178.28
lifnefhl-1,Cluster 22,0,64.80
bbnlcimo-1,Cluster 3,0,89.18
lifcogoa-1,Cluster 12,0,84.35
bbnhjahi-1,Cluster 3,0,62.23
bbnlbgdh-1,Cluster 2,0,147.25
mbgnkbco-1,Cluster 4,0,48.72
bcmppfbd-1,Cluster 3,0,64.30
mbjjejjo-1,Cluster 3,0,111.04
bcnaollj-1,Cluster 19,0,47.14
mbfogdjf-1,Cluster 11,0,142.96
bcnglene-1,Cluster 19,0,36.94
bcnhjgdh-1,Cluster 3,0,98.31
mbjicnnf-1,Cluster 10,0,34.82
bcmmkafi-1,Cluster 12,0,75.86
bcnamien-1,Cluster 12,0,86.97
mbjikeai-1,Cluster 3,0,223.07
bcniahfl-1,Cluster 3,0,161.07
bcmpkjof-1,Cluster 3,0,162.20
mbjikpfp-1,Cluster 12,0,216.52
bcmnedih-1,Cluster 19,0,42.67
bcmmegkf-1,Cluster 3,0,245.74
mbfnapni-1,Cluster 19,0,109.73
bcngogea-1,Cluster 3,0,106.98
bcmmfmdo-1,Cluster 3,0,127.07
mbjglmmm-1,Cluster 31,0,76.59
mbjhhaco-1,Cluster 31,0,47.82
mbjhkido-1,Cluster 12,0,118.85
bcmjdeac-1,Cluster 17,0,103.27
bcmjcohj-1,Cluster 2,0,118.40
mbjhbecb-1,Cluster 2,0,190.11
bcmjbmkj-1,Cluster 17,0,49.18
mbglldcn-1,Cluster 2,0,205.87
mbheiimm-1,Cluster 11,0,89.91
mbhffnem-1,Cluster 4,0,68.59
mbhiaimi-1,Cluster 5,0,45.38
mbhidpgf-1,Cluster 12,0,78.39
bcmjefjk-1,Cluster 3,0,107.47
mbhgaknm-1,Cluster 13,0,56.90
bcmkigjg-1,Cluster 3,0,111.67
bcmkjedi-1,Cluster 3,0,99.57
bcmkaidh-1,Cluster 3,0,117.90
bcmjelgf-1,Cluster 12,0,83.58
mbhemaga-1,Cluster 5,0,52.83
mbkgjogb-1,Cluster 19,0,28.54
mbjndphh-1,Cluster 2,0,130.46
bbkjmlea-1,Cluster 17,0,120.43
mbjjekim-1,Cluster 14,0,26.15
bbkmffja-1,Cluster 2,0,240.28
bbkmgmff-1,Cluster 2,0,193.00
mbjlpbab-1,Cluster 22,0,107.25
bbkhcmlg-1,Cluster 12,0,121.20
mbjkfded-1,Cluster 12,0,100.92
mbjkmcff-1,Cluster 12,0,70.81
mbifmhep-1,Cluster 12,0,118.81
mbjjpglc-1,Cluster 3,0,188.66
bcmnppki-1,Cluster 12,0,86.07
mbjggkhj-1,Cluster 4,0,59.65
bcnbbdpi-1,Cluster 17,0,104.45
bcmnlbfk-1,Cluster 12,0,83.45
mbickkoe-1,Cluster 2,0,171.41
mbjlejlp-1,Cluster 3,0,143.37
mbjmadie-1,Cluster 22,0,41.36
bcnelooa-1,Cluster 3,0,108.06
mbjiloaa-1,Cluster 19,0,48.36
mbiflnch-1,Cluster 34,0,43.12
mbiddcme-1,Cluster 3,0,143.87
mbjlbpme-1,Cluster 10,0,25.60
bcnbcpbp-1,Cluster 3,0,143.33
mbifkemi-1,Cluster 4,0,32.02
mbjlgfcm-1,Cluster 2,0,157.41
bbkfmaen-1,Cluster 3,0,89.59
bcnggplc-1,Cluster 3,0,124.18
mbjkdfpn-1,Cluster 12,0,150.60
bcnbolni-1,Cluster 19,0,52.11
bcnceigi-1,Cluster 3,0,140.44
mbjlkpcg-1,Cluster 12,0,110.23
bcnccblm-1,Cluster 3,0,132.99
bcnfmcdm-1,Cluster 3,0,101.33
bcmocfjo-1,Cluster 3,0,101.33
mbgodklf-1,Cluster 13,0,72.30
mblbglbm-1,Cluster 33,0,17.34
mblchiho-1,Cluster 3,0,206.14
bcncgmgm-1,Cluster 17,0,157.96
mbladeef-1,Cluster 25,0,15.22
lifplbli-1,Cluster 12,0,120.70
mbkdfdne-1,Cluster 12,0,143.33
mbldgeaa-1,Cluster 3,0,163.56
mbkdiomh-1,Cluster 19,0,36.85
mbledckn-1,Cluster 2,0,176.74
mblcnedg-1,Cluster 3,0,73.60
lifpglnn-1,Cluster 3,0,208.08
mbkdhppb-1,Cluster 3,0,383.38
mbldbpgf-1,Cluster 19,0,48.77
mbkpnmle-1,Cluster 2,0,238.52
mbkdcfmg-1,Cluster 25,0,49.90
lifhaadh-1,Cluster 3,0,177.42
bbnclbdd-1,Cluster 3,0,119.35
bbnejcin-1,Cluster 19,0,85.03
mbkjljpg-1,Cluster 17,0,183.29
mbkhdain-1,Cluster 2,0,232.69
bbnffnhk-1,Cluster 3,0,112.66
mbkkalhb-1,Cluster 19,0,155.02
mbkhpbmg-1,Cluster 13,0,18.83
mbkfiadi-1,Cluster 1,0,93.11
bbnfdcnd-1,Cluster 19,0,79.97
mbkibmlf-1,Cluster 4,0,60.19
mbkblfph-1,Cluster 12,0,153.67
lifbimch-1,Cluster 12,0,157.23
mbkdmeoc-1,Cluster 12,0,161.89
mbkaafkk-1,Cluster 1,0,192.64
bbnediee-1,Cluster 3,0,101.83
lifbihhm-1,Cluster 3,0,166.63
lifbicnm-1,Cluster 34,0,18.11
mbkdmibh-1,Cluster 10,0,43.71
mbkgjmcc-1,Cluster 19,0,85.57
mbkgbmip-1,Cluster 11,0,160.12
liffbkeg-1,Cluster 1,0,147.66
lifgfedd-1,Cluster 11,0,78.84
lifnnegb-1,Cluster 11,0,81.24
bbomlfmi-1,Cluster 12,0,81.55
ligbneaa-1,Cluster 3,0,280.15
ligbjgao-1,Cluster 3,0,131.22
mblbfabo-1,Cluster 43,0,37.89
bbliopik-1,Cluster 1,0,59.15
mbkpegph-1,Cluster 28,0,50.85
lifooaog-1,Cluster 31,0,60.24
bblhoopb-1,Cluster 1,0,87.11
lifofogl-1,Cluster 4,0,67.82
mbknjpaf-1,Cluster 1,0,98.08
ligadfek-1,Cluster 11,0,101.69
mblgidhp-1,Cluster 1,0,149.33
mbknaaai-1,Cluster 1,0,132.85
mblamifk-1,Cluster 3,0,111.04
mblanlcl-1,Cluster 26,0,55.95
mblbomji-1,Cluster 19,0,38.07
bbomncjg-1,Cluster 1,0,100.83
mblgpfad-1,Cluster 1,0,196.47
bcndkgoi-1,Cluster 1,0,79.66
mblalfjn-1,Cluster 4,0,34.50
mblgmhci-1,Cluster 4,0,55.45
mblgbajd-1,Cluster 3,0,174.94
mblflffd-1,Cluster 1,0,169.02
mbkoopdp-1,Cluster 11,0,117.23
mblefpim-1,Cluster 3,0,146.35
mbkpjdcf-1,Cluster 24,0,86.79
mblemijl-1,Cluster 3,0,176.38
bbonmccp-1,Cluster 3,0,145.45
mblekopm-1,Cluster 19,0,53.06
mblalmea-1,Cluster 28,0,40.46
mbleikon-1,Cluster 31,0,69.09
lifnngjk-1,Cluster 14,0,66.20
mblaaapi-1,Cluster 13,0,30.84
lifpdfek-1,Cluster 12,0,117.41
bcncnhgk-1,Cluster 24,0,81.28
bblidclg-1,Cluster 11,0,94.83
lienpiaj-1,Cluster 4,0,60.92
bbjnefhb-1,Cluster 19,0,58.75
bbljkedb-1,Cluster 12,0,135.02
bbjppdon-1,Cluster 2,0,145.31
bbkmiihf-1,Cluster 17,0,143.46
mbjoflcf-1,Cluster 2,0,103.00
mbjffofm-1,Cluster 19,0,163.47
mbjdkflf-1,Cluster 3,0,166.04
bbkafjgl-1,Cluster 2,0,109.10
bbjpglfl-1,Cluster 3,0,61.50
bbjpoppj-1,Cluster 12,0,62.59
mbjcnghl-1,Cluster 2,0,219.14
mbjokdlc-1,Cluster 4,0,56.36
bbknojaj-1,Cluster 2,0,179.36
bbkddknd-1,Cluster 2,0,98.85
bbknofdj-1,Cluster 19,0,48.95
bbknikgb-1,Cluster 2,0,191.69
bbklafii-1,Cluster 19,0,80.51
mbkdfoel-1,Cluster 19,0,69.90
bbknecch-1,Cluster 12,0,104.54
bbkiaoaa-1,Cluster 17,0,69.72
mbjnigpl-1,Cluster 17,0,101.83
bbklbmni-1,Cluster 2,0,181.75
bbklljhg-1,Cluster 2,0,221.31
mbjciejl-1,Cluster 2,0,126.71
bbkmbfna-1,Cluster 3,0,94.47
bbkmelmh-1,Cluster 2,0,174.44
mbfaoghe-1,Cluster 2,0,215.85
mbjmchio-1,Cluster 2,0,184.15
mbjmkobk-1,Cluster 13,0,29.22
mbjomdgo-1,Cluster 4,0,77.62
mbjnfbfp-1,Cluster 3,0,94.20
bbkcmmfp-1,Cluster 17,0,79.79
bbkbmkcd-1,Cluster 2,0,124.81
bbkkhpek-1,Cluster 12,0,97.36
bbkinmbp-1,Cluster 17,0,80.29
mbjoejek-1,Cluster 2,0,192.77
mbkhpbea-1,Cluster 3,0,71.57
bbknkjme-1,Cluster 2,0,152.49
mbohdmfk-1,Cluster 37,0,24.16
mboenfij-1,Cluster 35,0,91.94
mbmobkgm-1,Cluster 37,0,26.78
mboejikg-1,Cluster 35,0,46.06
mbmjlbln-1,Cluster 18,0,91.31
mbmoajhd-1,Cluster 10,0,38.97
mbjcfhef-1,Cluster 35,0,75.19
bbljkekg-1,Cluster 40,0,60.33
mboelopc-1,Cluster 35,0,65.97
mboejoih-1,Cluster 37,0,27.36
bbljfboe-1,Cluster 11,0,77.94
oifmdafd-1,Cluster 25,0,15.99
mbjcboed-1,Cluster 1,0,112.26
mbmlcbfc-1,Cluster 8,0,36.76
mboincbb-1,Cluster 37,0,47.23
mbjcceci-1,Cluster 40,0,73.60
mbohdmia-1,Cluster 37,0,32.06
mbjpgfok-1,Cluster 35,0,48.14
mbmmgmhl-1,Cluster 18,0,35.31
bblhblbb-1,Cluster 1,0,140.12
mbmnoknh-1,Cluster 14,0,45.38
mbmlnflf-1,Cluster 5,0,34.50
bbljkgcc-1,Cluster 40,0,49.08
mbmmcldc-1,Cluster 8,0,47.46
mblaofmd-1,Cluster 13,0,15.49
mbjfbcfh-1,Cluster 14,0,56.13
mbmlhgjh-1,Cluster 4,0,41.86
mbkkcmlb-1,Cluster 10,0,18.38
bblglopn-1,Cluster 12,0,140.48
mbjfjnap-1,Cluster 10,0,17.70
mbjfoacn-1,Cluster 4,0,54.32
bbjmpfje-1,Cluster 2,0,153.67
bbjolene-1,Cluster 17,0,102.50
bbkdnlmp-1,Cluster 33,0,21.31
bbjnlage-1,Cluster 17,0,107.47
mbjfgbio-1,Cluster 10,0,41.32
liiikchp-1,Cluster 3,0,138.63
lkdbfmlj-1,Cluster 1,0,270.71
ljfihppb-1,Cluster 22,0,44.93
ljbockif-1,Cluster 1,0,136.19
lkdccddm-1,Cluster 43,0,46.10
ljbocfnk-1,Cluster 11,0,49.54
lkdgonmc-1,Cluster 1,0,236.53
bbgpcbbe-1,Cluster 2,0,164.46
bbgopejg-1,Cluster 12,0,71.93
ljbneolk-1,Cluster 4,0,48.86
bbgomcag-1,Cluster 3,0,177.92
ljbmdcld-1,Cluster 1,0,158.14
bbgiiaad-1,Cluster 2,0,144.18
ljbmjgcn-1,Cluster 1,0,114.61
lkdfaeak-1,Cluster 1,0,180.90
ljcejfgc-1,Cluster 5,0,34.27
bbgllnib-1,Cluster 2,0,182.61
ljbednga-1,Cluster 4,0,33.28
ljceaibh-1,Cluster 2,0,134.52
ljbengpd-1,Cluster 22,0,57.94
ljbffaab-1,Cluster 11,0,138.99
ljbfkiha-1,Cluster 4,0,38.70
bbgppcad-1,Cluster 3,0,127.79
ljfjmaip-1,Cluster 2,0,147.89
ljbffibn-1,Cluster 1,0,135.42
bbgockfm-1,Cluster 3,0,85.35
ljbpffhi-1,Cluster 2,0,180.31
bbglindl-1,Cluster 3,0,146.13
ljfikcjl-1,Cluster 10,0,41.77
bbgnoafg-1,Cluster 2,0,154.98
bbglfnbb-1,Cluster 3,0,65.25
ljbhmoip-1,Cluster 4,0,47.50
ljcdeflj-1,Cluster 2,0,138.90
ljbghgie-1,Cluster 4,0,48.90
bbgpaabn-1,Cluster 19,0,26.69
ljcknaac-1,Cluster 1,0,156.87
ljbjelea-1,Cluster 5,0,35.45
ldbakboe-1,Cluster 28,0,45.52
