"cell_id","group"
"aahmkdkm-1","PTS1"
"aahmpbia-1","ICA"
"aahnhike-1","PTS2"
"aahocfak-1","PTS2"
"aahojeig-1","PTS2"
"aahoknoe-1","ICA"
"aahpedfd-1","ICA"
"aahpodgo-1","ICA"
"aahpohha-1","ICA"
"aahppnjc-1","PTS1"
"aaiabpii-1","ICA"
"aaiadeki-1","PTS2"
"aaiafjan-1","CNT"
"aaialcfb-1","ICB"
"aaibpjmj-1","PTS2"
"aaicioim-1","PC"
"aaicmhnn-1","PTS2"
"aaidffpp-1","ICB"
"aaidfkmp-1","PTS2"
"aaidkndc-1","PTS1"
"aaidokii-1","PTS1"
"aaidplhk-1","PTS2"
"aaifdlag-1","PTS2"
"aaiffffm-1","PTS2"
"aaiffioe-1","PTS2"
"aaiffnna-1","PTS2"
"aaifkkpe-1","PTS2"
"aaifnggd-1","PTS2"
"aaigdbog-1","PTS2"
"aaigkdei-1","PTS2"
"aaigmipe-1","CNT"
"aaihcoeo-1","PTS1"
"aaihcpec-1","ICB"
"aaihgmia-1","PTS1"
"aaihicgd-1","CNT"
"aaihnpbn-1","CNT"
"aaiidoho-1","CNT"
"aaiifncn-1","ICA"
"aaiihood-1","ICB"
"aaiikeoc-1","PTS1"
"aaiikgel-1","CNT"
"aaijdnoc-1","PTS1"
"aaijjbba-1","PTS1"
"aaijmogo-1","PTS2"
"aaijonfl-1","PTS1"
"aaikcnkp-1","PTS2"
"aaikneck-1","PTS2"
"aaikpnnm-1","ICB"
"aailloda-1","CNT"
"aailojei-1","CNT"
"aailolal-1","ICB"
"aaimipph-1","PTS2"
"aaimlklj-1","PTS2"
"aaimmiki-1","PTS2"
"aaincimi-1","PTS2"
"aaiodcbl-1","PTS2"
"aaipdffk-1","PTS1"
"aaipdpfa-1","PTS2"
"aaipfpfo-1","PTS2"
"aaipoihg-1","PTS2"
"aajalgfp-1","PTS2"
"aajbnjcl-1","PTS2"
"aajdioff-1","EC"
"aajdjpcd-1","PTS2"
"aajeiaac-1","PTS2"
"aajeidbg-1","PTS2"
"aajeijgk-1","PTS2"
"aajfenkf-1","DCT1"
"aajflodd-1","DCT1"
"aajfmkca-1","PTS2"
"aajfoepf-1","PTS2"
"aajgnnkc-1","PTS1"
"aajhapal-1","PTS2"
"aajhcjkb-1","PTS1"
"aajhiial-1","PTS2"
"aajhmdek-1","FIB"
"aajibjoe-1","ICB"
"aajieehb-1","CNT"
"aajjbnbb-1","PTS2"
"aajkfdom-1","PTS2"
"aajldjih-1","PTS1"
"aajleblp-1","PTS1"
"aajllhan-1","PTS2"
"aajmifgn-1","PTS1"
"aajneifj-1","PTS3"
"aajofgbb-1","PTS1"
"aajppfbh-1","PTS2"
"aajppjio-1","PTS3"
"aakbccib-1","PTS3"
"aakbgldl-1","PTS2"
"aakbhfbo-1","PTS2"
"aakbhjio-1","PTS1"
"aakbidol-1","PTS1"
"aakbkhim-1","PTS1"
"aakbobfo-1","PTS2"
"aakcgikh-1","PTS2"
"aakcnekp-1","PTS3"
"aakdfdcc-1","PTS2"
"aakdiaco-1","PTS2"
"aakdmamm-1","PTS1"
"aakdmobn-1","PTS1"
"aakdonbk-1","PTS1"
"aakdphfk-1","PTS2"
"aakeadfn-1","PTS2"
"aakefbnl-1","PTS2"
"aakeidep-1","PTS2"
"aakeiedl-1","PTS2"
"aakeoehg-1","PTS2"
"aakffkbd-1","PTS2"
"aakfkhaj-1","PTS2"
"aakfkmci-1","PTS2"
"aakfkonk-1","PTS2"
"aakgdgja-1","PTS2"
"aakhkidh-1","PTS3"
"aakijadm-1","PTS3"
"aakinlch-1","PTS2"
"aakjnond-1","PTS2"
"aakkdpjk-1","PTS3"
"aakkgkoa-1","PTS2"
"aakkhieh-1","PTS2"
"aaklcehd-1","PTS3"
"aaklghlk-1","PTS3"
"aakllhml-1","PTS3"
"aakmeajg-1","PTS3"
"aakmfoln-1","PTS2"
"aakmncee-1","PTS3"
"aakmpbjo-1","PTS3"
"aakndfnj-1","PTS2"
"aaknjcpc-1","PTS2"
"aaknpacm-1","PTS2"
"aakobkdn-1","PTS2"
"aakolckl-1","PTS3"
"aakpbpnc-1","PTS3"
"aakpgicb-1","PTS2"
"aalaejll-1","PTS2"
"aalamgin-1","PTS3"
"aalbmekj-1","PTS2"
"aalciohh-1","PTS2"
"aaldcabl-1","PTS2"
"aaldgfaj-1","PTS2"
"aaldmglh-1","PTS3"
"aaleacji-1","PTS3"
"aaleingi-1","PTS2"
"aalemfoh-1","PTS3"
"aalfghlj-1","PTS2"
"aalfpapi-1","PTS2"
"aalgnkmh-1","PTS3"
"aalgoicl-1","PTS2"
"aalhbeol-1","PTS3"
"aalhbhlb-1","PTS2"
"aalhknge-1","PTS3"
"aalhnbbe-1","PTS2"
"aalihdjj-1","CNT"
"aaljkkad-1","ICB"
"aaljpbgb-1","PTS2"
"aalkcmpf-1","PTS2"
"aalklloe-1","PTS2"
"aalkmepf-1","PTS2"
"aalknmob-1","PTS2"
"aalknmpg-1","PTS2"
"aallbhdm-1","CNT"
"aallmfkh-1","PTS2"
"aallpmmj-1","EC"
"aalmcajh-1","CNT"
"aalmlckg-1","PTS2"
"aalmnkhm-1","PTS2"
"aalngccf-1","PTS2"
"aalnhiaa-1","PTS2"
"aalnjmga-1","PTS1"
"aalnnnag-1","PTS2"
"aaloclmb-1","PTS2"
"aalogblo-1","PTS2"
"aalpbbkb-1","PTS2"
"aalpfddd-1","MD"
"aamadfbk-1","MD"
"aamadpmd-1","MD"
"aamagbho-1","MD"
"aamaidah-1","MD"
"aamaknpp-1","PTS2"
"aamambnf-1","PTS2"
"aamamipl-1","PTS2"
"aambikpd-1","PTS1"
"aamcagnn-1","DCT1"
"aamcbhma-1","PTS1"
"aamckhgj-1","DCT1"
"aamckonj-1","PTS2"
"aamcngom-1","FIB"
"aamcoogc-1","PTS2"
"aamdpeel-1","PTS2"
"aamechdd-1","PTS1"
"aameeial-1","PTS1"
"aamekhee-1","PTS1"
"aamepenh-1","PTS1"
"aamepfei-1","PTS2"
"aamfdfdo-1","PTS2"
"aamfldjj-1","PTS1"
"aamfnhmg-1","PTS2"
"aamglach-1","PTS2"
"aamgoogh-1","CNT"
"aamhbggc-1","CNT"
"aamhjjhc-1","CNT"
